"Deal Name","Pipeline","Deal Stage","Amount","Close Date","Deal Description"
"935 Eastman St, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","200000","","https://www.zillow.com/homedetails/935-Eastman-St-Columbia-SC-29203/11693735_zpid/ | For Sale"
"521 S Bull St, Columbia, SC 29205","Sales Pipeline","Appointment Scheduled","295000","","https://www.zillow.com/homedetails/521-S-Bull-St-Columbia-SC-29205/110227264_zpid/ | For Sale"
"9429 S Chelsea Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","239900","","https://www.zillow.com/homedetails/9429-S-Chelsea-Rd-Columbia-SC-29223/11728224_zpid/ | For Sale"
"40 Brooksby Ct, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","239900","","https://www.zillow.com/homedetails/40-Brooksby-Ct-Columbia-SC-29209/88001243_zpid/ | For Sale"
"808 Kingsbridge Rd, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","299900","","https://www.zillow.com/homedetails/808-Kingsbridge-Rd-Columbia-SC-29210/11200048_zpid/ | For Sale"
"407 Sesqui Trl, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","249900","","https://www.zillow.com/homedetails/407-Sesqui-Trl-Columbia-SC-29223/11736909_zpid/ | For Sale"
"113 Salusbury Ln, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","244900","","https://www.zillow.com/homedetails/113-Salusbury-Ln-Columbia-SC-29229/11731729_zpid/ | For Sale | Agent: Gaymon Realty Group"
"2309 Cunningham Rd, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","274900","","https://www.zillow.com/homedetails/2309-Cunningham-Rd-Columbia-SC-29210/11674367_zpid/ | For Sale"
"133 Shoreditch Dr, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","165000","","https://www.zillow.com/homedetails/133-Shoreditch-Dr-Columbia-SC-29209/11735457_zpid/ | For Sale"
"272 Bassett Loop, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","279750","","https://www.zillow.com/homedetails/272-Bassett-Loop-Columbia-SC-29229/71265970_zpid/ | For Sale"
"5666 Middleton Ct, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","199900","","https://www.zillow.com/homedetails/5666-Middleton-Ct-Columbia-SC-29203/11693573_zpid/ | For Sale"
"29 Battery Walk Ct, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","150000","","https://www.zillow.com/homedetails/29-Battery-Walk-Ct-Columbia-SC-29212/2101663601_zpid/ | Townhouse"
"517 Johnson Ave, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","119900","","https://www.zillow.com/homedetails/517-Johnson-Ave-Columbia-SC-29203/11677971_zpid/ | For Sale"
"1339 Bon Air Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","215000","","https://www.zillow.com/homedetails/1339-Bon-Air-Dr-Columbia-SC-29203/11680653_zpid/ | For Sale"
"205 Parliament Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","220000","","https://www.zillow.com/homedetails/205-Parliament-Dr-Columbia-SC-29223/11731367_zpid/ | For Sale"
"212 Kendrick Rd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","224999","","https://www.zillow.com/homedetails/212-Kendrick-Rd-Columbia-SC-29229/55194224_zpid/ | For Sale"
"205 Twin Oaks Ln, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","205000","","https://www.zillow.com/homedetails/205-Twin-Oaks-Ln-Columbia-SC-29209/55194647_zpid/ | For Sale"
"17 Cypress Cove Rd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","270000","","https://www.zillow.com/homedetails/17-Cypress-Cove-Rd-Columbia-SC-29229/121957026_zpid/ | For Sale"
"5525 Randall Ave, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","135000","","https://www.zillow.com/homedetails/5525-Randall-Ave-Columbia-SC-29203/11693266_zpid/ | For Sale"
"1050 Rabon Pond Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","225000","","https://www.zillow.com/homedetails/1050-Rabon-Pond-Dr-Columbia-SC-29223/118550265_zpid/ | For Sale"
"3109 Downes Grove Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","290000","","https://www.zillow.com/homedetails/3109-Downes-Grove-Rd-Columbia-SC-29209/11726213_zpid/ | For Sale"
"1155 Cloister Pl, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","169000","","https://www.zillow.com/homedetails/1155-Cloister-Pl-Columbia-SC-29210/11670733_zpid/ | Townhouse"
"1622 Crestview Ave, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","229900","","https://www.zillow.com/homedetails/1622-Crestview-Ave-Columbia-SC-29223/11720527_zpid/ | For Sale"
"104 Talltree Ln, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","259000","","https://www.zillow.com/homedetails/104-Talltree-Ln-Columbia-SC-29229/52114815_zpid/ | For Sale"
"6810 Satchel Ford Rd, Columbia, SC 29206","Sales Pipeline","Appointment Scheduled","215000","","https://www.zillow.com/homedetails/6810-Satchel-Ford-Rd-Columbia-SC-29206/11710911_zpid/ | For Sale"
"1253 Mosser Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","255000","","https://www.zillow.com/homedetails/1253-Mosser-Dr-Columbia-SC-29203/440782170_zpid/ | For Sale"
"225 Fernview Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","254900","","https://www.zillow.com/homedetails/225-Fernview-Dr-Columbia-SC-29229/11741303_zpid/ | For Sale"
"4100 Highland Park Dr, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","181000","","https://www.zillow.com/homedetails/4100-Highland-Park-Dr-Columbia-SC-29204/11709967_zpid/ | For Sale"
"245 Dove Park Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","239900","","https://www.zillow.com/homedetails/245-Dove-Park-Rd-Columbia-SC-29223/52114868_zpid/ | For Sale"
"1602 Conestoga Cir, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","127000","","https://www.zillow.com/homedetails/1602-Conestoga-Cir-Columbia-SC-29223/11719374_zpid/ | For Sale"
"9 Twin Oaks Cir, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","277000","","https://www.zillow.com/homedetails/9-Twin-Oaks-Cir-Columbia-SC-29209/11734927_zpid/ | For Sale"
"135 Waterville Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","299900","","https://www.zillow.com/homedetails/135-Waterville-Dr-Columbia-SC-29229/67616295_zpid/ | For Sale"
"398 Keeble Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","270000","","https://www.zillow.com/homedetails/398-Keeble-Dr-Columbia-SC-29223/462991498_zpid/ | For Sale"
"103 Village Way, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","230000","","https://www.zillow.com/homedetails/103-Village-Way-Columbia-SC-29209/67597713_zpid/ | For Sale"
"25 Heatherlaurel Ct, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","270000","","https://www.zillow.com/homedetails/25-Heatherlaurel-Ct-Columbia-SC-29223/121964812_zpid/ | For Sale"
"3408 Belvedere Dr, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","143000","","https://www.zillow.com/homedetails/3408-Belvedere-Dr-Columbia-SC-29204/11692686_zpid/ | For Sale"
"125 Cedar Glen Ln, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","162000","","https://www.zillow.com/homedetails/125-Cedar-Glen-Ln-Columbia-SC-29223/71271635_zpid/ | For Sale"
"0 S Heyward Brockington Ct, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","120000","","https://www.zillow.com/homedetails/0-S-Heyward-Brockington-Ct-Columbia-SC-29203/461296872_zpid/ | Land"
"124 Farrow Pointe Ln, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","289500","","https://www.zillow.com/homedetails/124-Farrow-Pointe-Ln-Columbia-SC-29203/121961182_zpid/ | For Sale"
"2930 English Ave, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","219800","","https://www.zillow.com/homedetails/2930-English-Ave-Columbia-SC-29204/11691877_zpid/ | For Sale"
"213 Greemount Cir, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","230000","","https://www.zillow.com/homedetails/213-Greemount-Cir-Columbia-SC-29209/92387659_zpid/ | For Sale"
"13 Gatewood Way, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","200000","","https://www.zillow.com/homedetails/13-Gatewood-Way-Columbia-SC-29229/67615272_zpid/ | For Sale"
"328 Galbra St, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","144900","","https://www.zillow.com/homedetails/328-Galbra-St-Columbia-SC-29209/11735855_zpid/ | For Sale"
"409 Todd Branch Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","149900","","https://www.zillow.com/homedetails/409-Todd-Branch-Dr-Columbia-SC-29223/11728524_zpid/ | For Sale"
"824 Laurel St, Columbia, SC 29201","Sales Pipeline","Appointment Scheduled","164700","","https://www.zillow.com/homedetails/824-Laurel-St-Columbia-SC-29201/121958758_zpid/ | Land"
"112 Stanford St, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","229000","","https://www.zillow.com/homedetails/112-Stanford-St-Columbia-SC-29203/11694639_zpid/ | For Sale"
"1146 Castle Pinckney Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","137150","","https://www.zillow.com/homedetails/1146-Castle-Pinckney-Rd-Columbia-SC-29223/11719498_zpid/ | For Sale"
"141 Wincay Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","168000","","https://www.zillow.com/homedetails/141-Wincay-Rd-Columbia-SC-29223/71270824_zpid/ | For Sale"
"9194 Windsor Lake Blvd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","280000","","https://www.zillow.com/homedetails/9194-Windsor-Lake-Blvd-Columbia-SC-29223/67615159_zpid/ | For Sale"
"217 Branchview Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","271000","","https://www.zillow.com/homedetails/217-Branchview-Dr-Columbia-SC-29229/55195744_zpid/ | For Sale"
"4243 Mandel Dr, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","195000","","https://www.zillow.com/homedetails/4243-Mandel-Dr-Columbia-SC-29210/11671261_zpid/ | For Sale"
"121 Travers Ln, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","255000","","https://www.zillow.com/homedetails/121-Travers-Ln-Columbia-SC-29223/462923492_zpid/ | For Sale"
"4100 Boxwood Dr, Columbia, SC 29205","Sales Pipeline","Appointment Scheduled","199900","","https://www.zillow.com/homedetails/4100-Boxwood-Dr-Columbia-SC-29205/11698485_zpid/ | For Sale"
"367 Marshdeer Way, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","232000","","https://www.zillow.com/homedetails/367-Marshdeer-Way-Columbia-SC-29229/88007997_zpid/ | For Sale"
"2776 Prince Charles Ct, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","245000","","https://www.zillow.com/homedetails/2776-Prince-Charles-Ct-Columbia-SC-29209/2060374317_zpid/ | For Sale"
"33 Heritage Village Ln, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","174500","","https://www.zillow.com/homedetails/33-Heritage-Village-Ln-Columbia-SC-29212/11671786_zpid/ | For Sale"
"1200 Bluff Rd #198, Columbia, SC 29201","Sales Pipeline","Appointment Scheduled","15000","","https://www.zillow.com/homedetails/1200-Bluff-Rd-198-Columbia-SC-29201/462627660_zpid/ | Land"
"1601 Wynnewood Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","164900","","https://www.zillow.com/homedetails/1601-Wynnewood-Rd-Columbia-SC-29223/11720320_zpid/ | For Sale"
"48 Castle Cary Ct, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","229000","","https://www.zillow.com/homedetails/48-Castle-Cary-Ct-Columbia-SC-29209/88011122_zpid/ | For Sale"
"2012 Bolt Dr, Anderson, SC 29621","Sales Pipeline","Appointment Scheduled","230000","","https://www.zillow.com/homedetails/2012-Bolt-Dr-Anderson-SC-29621/10795640_zpid/ | For Sale | Agent: EXP Realty LLC"
"125 Deer Hound Trl, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","179900","","https://www.zillow.com/homedetails/125-Deer-Hound-Trl-Columbia-SC-29223/55194906_zpid/ | For Sale"
"109 Christian St, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","195000","","https://www.zillow.com/homedetails/109-Christian-St-Columbia-SC-29203/11710175_zpid/ | For Sale"
"34 Nottingham Ct, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","285000","","https://www.zillow.com/homedetails/34-Nottingham-Ct-Columbia-SC-29209/92394300_zpid/ | For Sale"
"4040 Conners St, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","24000","","https://www.zillow.com/homedetails/4040-Conners-St-Columbia-SC-29204/121966915_zpid/ | Land"
"129 Kings Parish Ct, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","239000","","https://www.zillow.com/homedetails/129-Kings-Parish-Ct-Columbia-SC-29209/2058807719_zpid/ | For Sale"
"6 Crescent Ln, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","175000","","https://www.zillow.com/homedetails/6-Crescent-Ln-Columbia-SC-29212/11188389_zpid/ | Townhouse"
"2434 Paxton St, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","209900","","https://www.zillow.com/homedetails/2434-Paxton-St-Columbia-SC-29204/11692363_zpid/ | For Sale"
"3652 Hoyt St, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","219000","","https://www.zillow.com/homedetails/3652-Hoyt-St-Columbia-SC-29223/11711720_zpid/ | For Sale"
"408 Todd Branch Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","149900","","https://www.zillow.com/homedetails/408-Todd-Branch-Dr-Columbia-SC-29223/11728501_zpid/ | For Sale"
"Lang Rd #1, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","50000","","https://www.zillow.com/homedetails/Lang-Rd-1-Columbia-SC-29204/462000314_zpid/ | Land"
"1803 Cermack St, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","225000","","https://www.zillow.com/homedetails/1803-Cermack-St-Columbia-SC-29223/11719434_zpid/ | For Sale"
"417 White Cedar Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","210000","","https://www.zillow.com/homedetails/417-White-Cedar-Dr-Columbia-SC-29229/92390878_zpid/ | For Sale"
"6930 Monticello Rd, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","75000","","https://www.zillow.com/homedetails/6930-Monticello-Rd-Columbia-SC-29203/11680477_zpid/ | For Sale"
"16 Sessile Ct, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","270000","","https://www.zillow.com/homedetails/16-Sessile-Ct-Columbia-SC-29203/370670869_zpid/ | For Sale"
"3821 Trotter Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","154900","","https://www.zillow.com/homedetails/3821-Trotter-Rd-Columbia-SC-29209/11735287_zpid/ | For Sale"
"5 Sterling Ridge Ct, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","230000","","https://www.zillow.com/homedetails/5-Sterling-Ridge-Ct-Columbia-SC-29229/55195491_zpid/ | For Sale"
"1558 Hazelwood Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","168000","","https://www.zillow.com/homedetails/1558-Hazelwood-Rd-Columbia-SC-29209/11724622_zpid/ | For Sale"
"205 Oak Manor Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","255000","","https://www.zillow.com/homedetails/205-Oak-Manor-Dr-Columbia-SC-29229/11740272_zpid/ | For Sale"
"663 Wooster Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","249900","","https://www.zillow.com/homedetails/663-Wooster-Dr-Columbia-SC-29223/461988044_zpid/ | For Sale"
"303 Harbor Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","150000","","https://www.zillow.com/homedetails/303-Harbor-Dr-Columbia-SC-29229/121818519_zpid/ | Land"
"385 Hickory Hill Dr, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","99000","","https://www.zillow.com/homedetails/385-Hickory-Hill-Dr-Columbia-SC-29210/11671493_zpid/ | Townhouse"
"29 Hampton Oaks Pl, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","170000","","https://www.zillow.com/homedetails/29-Hampton-Oaks-Pl-Columbia-SC-29212/55192904_zpid/ | For Sale"
"1734 Nearview Ave, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","164900","","https://www.zillow.com/homedetails/1734-Nearview-Ave-Columbia-SC-29223/11726923_zpid/ | For Sale"
"320 Redwood Ct, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","190000","","https://www.zillow.com/homedetails/320-Redwood-Ct-Columbia-SC-29223/11710999_zpid/ | For Sale"
"146 Dunham Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","299000","","https://www.zillow.com/homedetails/146-Dunham-Rd-Columbia-SC-29209/2061751134_zpid/ | For Sale"
"7626 Terry St, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","117500","","https://www.zillow.com/homedetails/7626-Terry-St-Columbia-SC-29209/11724583_zpid/ | For Sale"
"316 E Waverly Place Ct, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","249750","","https://www.zillow.com/homedetails/316-E-Waverly-Place-Ct-Columbia-SC-29229/67612042_zpid/ | For Sale"
"822 Apache Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","199000","","https://www.zillow.com/homedetails/822-Apache-Dr-Columbia-SC-29203/11674771_zpid/ | For Sale"
"1683 Rabon Farms Ln, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","225000","","https://www.zillow.com/homedetails/1683-Rabon-Farms-Ln-Columbia-SC-29223/121966583_zpid/ | For Sale"
"1115 Belmont Green Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","299000","","https://www.zillow.com/homedetails/1115-Belmont-Green-Rd-Columbia-SC-29209/2058639858_zpid/ | For Sale"
"14 Shadow Creek Ct, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","174900","","https://www.zillow.com/homedetails/14-Shadow-Creek-Ct-Columbia-SC-29209/11734844_zpid/ | Townhouse"
"1201 Sycamore Ave, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","184900","","https://www.zillow.com/homedetails/1201-Sycamore-Ave-Columbia-SC-29203/11679597_zpid/ | For Sale"
"1314 Red Ridge Ter, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","33000","","https://www.zillow.com/homedetails/1314-Red-Ridge-Ter-Columbia-SC-29203/2066432220_zpid/ | Land"
"301 Squire Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","227500","","https://www.zillow.com/homedetails/301-Squire-Rd-Columbia-SC-29223/11730437_zpid/ | For Sale"
"4604 Ridgewood Ave, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","290000","","https://www.zillow.com/homedetails/4604-Ridgewood-Ave-Columbia-SC-29203/11679085_zpid/ | For Sale"
"424 Folkstone Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","229000","","https://www.zillow.com/homedetails/424-Folkstone-Rd-Columbia-SC-29223/11722547_zpid/ | For Sale"
"408 Summit Townes Way, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","165000","","https://www.zillow.com/homedetails/408-Summit-Townes-Way-Columbia-SC-29229/62990812_zpid/ | Townhouse"
"7517 Eileen St, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","49000","","https://www.zillow.com/homedetails/7517-Eileen-St-Columbia-SC-29209/11724292_zpid/ | Land"
"911 S Stadium Rd #A-31, Columbia, SC 29201","Sales Pipeline","Appointment Scheduled","19500","","https://www.zillow.com/homedetails/911-S-Stadium-Rd-A-31-Columbia-SC-29201/452136424_zpid/ | Land"
"203 Autumn Run Cir, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","215000","","https://www.zillow.com/homedetails/203-Autumn-Run-Cir-Columbia-SC-29229/61363812_zpid/ | For Sale"
"409 Sheridan Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","249000","","https://www.zillow.com/homedetails/409-Sheridan-Dr-Columbia-SC-29223/11730955_zpid/ | For Sale"
"9829 Highgate Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","250000","","https://www.zillow.com/homedetails/9829-Highgate-Rd-Columbia-SC-29223/11729028_zpid/ | For Sale"
"7008 Monticello Rd, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","75000","","https://www.zillow.com/homedetails/7008-Monticello-Rd-Columbia-SC-29203/121966127_zpid/ | Land"
"133 Heritage Village Ln, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","169900","","https://www.zillow.com/homedetails/133-Heritage-Village-Ln-Columbia-SC-29212/52113947_zpid/ | For Sale"
"108 Waterford Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","174999","","https://www.zillow.com/homedetails/108-Waterford-Dr-Columbia-SC-29203/11674865_zpid/ | For Sale"
"41 Heritage Village Ln, Columbia, SC 29212","Sales Pipeline","Appointment Scheduled","179999","","https://www.zillow.com/homedetails/41-Heritage-Village-Ln-Columbia-SC-29212/11671790_zpid/ | For Sale"
"2025 Elmridge Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","290000","","https://www.zillow.com/homedetails/2025-Elmridge-Rd-Columbia-SC-29209/445790488_zpid/ | For Sale"
"2021 Morninglo Ln, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","165000","","https://www.zillow.com/homedetails/2021-Morninglo-Ln-Columbia-SC-29223/11726986_zpid/ | For Sale"
"508 Rockhaven Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","164900","","https://www.zillow.com/homedetails/508-Rockhaven-Dr-Columbia-SC-29223/11722832_zpid/ | For Sale"
"10 Trentridge Ct, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","189900","","https://www.zillow.com/homedetails/10-Trentridge-Ct-Columbia-SC-29229/67615246_zpid/ | Townhouse"
"192 Dunham Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","294990","","https://www.zillow.com/homedetails/192-Dunham-Rd-Columbia-SC-29209/2059263089_zpid/ | For Sale"
"1135 Omega Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","169900","","https://www.zillow.com/homedetails/1135-Omega-Dr-Columbia-SC-29223/11720059_zpid/ | For Sale"
"7653 Terry St, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","125000","","https://www.zillow.com/homedetails/7653-Terry-St-Columbia-SC-29209/11724463_zpid/ | For Sale"
"5225 Two Notch Rd, Columbia, SC 29204","Sales Pipeline","Appointment Scheduled","164900","","https://www.zillow.com/homedetails/5225-Two-Notch-Rd-Columbia-SC-29204/300045661_zpid/ | For Sale"
"E/s Tremont Ave #12, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","20000","","https://www.zillow.com/homedetails/E-s-Tremont-Ave-12-Columbia-SC-29203/461591737_zpid/ | Land"
"2054 Elmridge Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","299000","","https://www.zillow.com/homedetails/2054-Elmridge-Rd-Columbia-SC-29209/2067481982_zpid/ | For Sale"
"306 Charleswood Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","159900","","https://www.zillow.com/homedetails/306-Charleswood-Dr-Columbia-SC-29223/11722501_zpid/ | For Sale"
"3714 Hydrangea St, Columbia, SC 29205","Sales Pipeline","Appointment Scheduled","279000","","https://www.zillow.com/homedetails/3714-Hydrangea-St-Columbia-SC-29205/11698385_zpid/ | For Sale"
"2539 Cherry St, Columbia, SC 29205","Sales Pipeline","Appointment Scheduled","200000","","https://www.zillow.com/homedetails/2539-Cherry-St-Columbia-SC-29205/11687131_zpid/ | Land"
"217 Sharpe Rd, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","110000","","https://www.zillow.com/homedetails/217-Sharpe-Rd-Columbia-SC-29203/11695596_zpid/ | For Sale"
"1124 Robin Nest Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","169000","","https://www.zillow.com/homedetails/1124-Robin-Nest-Rd-Columbia-SC-29223/11719517_zpid/ | For Sale"
"338 Bowling Ave, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","149900","","https://www.zillow.com/homedetails/338-Bowling-Ave-Columbia-SC-29203/11694967_zpid/ | For Sale"
"N/s Columbia Ave, Columbia, SC 29201","Sales Pipeline","Appointment Scheduled","200000","","https://www.zillow.com/homedetails/N-s-Columbia-Ave-Columbia-SC-29201/461474210_zpid/ | Land"
"16 Sand Spur Rd, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","60000","","https://www.zillow.com/homedetails/16-Sand-Spur-Rd-Columbia-SC-29223/121962564_zpid/ | Land"
"Wakefield Rd, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","25000","","https://www.zillow.com/homedetails/Wakefield-Rd-Columbia-SC-29203/305553412_zpid/ | Land"
"0 River Ridge Rd, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","85000","","https://www.zillow.com/homedetails/0-River-Ridge-Rd-Columbia-SC-29210/2112216368_zpid/ | Land"
"617 Richland St, Columbia, SC 29201","Sales Pipeline","Appointment Scheduled","90000","","https://www.zillow.com/homedetails/617-Richland-St-Columbia-SC-29201/11675615_zpid/ | Land"
"4723 Linden St, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","145000","","https://www.zillow.com/homedetails/4723-Linden-St-Columbia-SC-29203/11680212_zpid/ | For Sale | Agent: Carolinas One Source Realty LLC"
"357 Canal Place Dr, Columbia, SC 29201","Sales Pipeline","Appointment Scheduled","60000","","https://www.zillow.com/homedetails/357-Canal-Place-Dr-Columbia-SC-29201/305552797_zpid/ | Land"
"188 Crestland Dr, Columbia, SC 29210","Sales Pipeline","Appointment Scheduled","159000","","https://www.zillow.com/homedetails/188-Crestland-Dr-Columbia-SC-29210/88000602_zpid/ | Townhouse"
"106 Harbor Dr, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","120000","","https://www.zillow.com/homedetails/106-Harbor-Dr-Columbia-SC-29229/2061149519_zpid/ | Land"
"619 Teardrop Ln, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","230000","","https://www.zillow.com/homedetails/619-Teardrop-Ln-Columbia-SC-29229/118550071_zpid/ | For Sale"
"1644 Pincushion Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","62000","","https://www.zillow.com/homedetails/1644-Pincushion-Rd-Columbia-SC-29209/121962297_zpid/ | Land"
"408 Thornfield Rd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","204900","","https://www.zillow.com/homedetails/408-Thornfield-Rd-Columbia-SC-29229/11731585_zpid/ | For Sale"
"121 Frasier Bay Rd, Columbia, SC 29229","Sales Pipeline","Appointment Scheduled","295000","","https://www.zillow.com/homedetails/121-Frasier-Bay-Rd-Columbia-SC-29229/55194138_zpid/ | For Sale"
"2012 Lmridge Rd, Columbia, SC 29209","Sales Pipeline","Appointment Scheduled","275000","","https://www.zillow.com/homedetails/2012-Lmridge-Rd-Columbia-SC-29209/2067363091_zpid/ | For Sale"
"3838 Wellesley Dr, Columbia, SC 29203","Sales Pipeline","Appointment Scheduled","207000","","https://www.zillow.com/homedetails/3838-Wellesley-Dr-Columbia-SC-29203/11676244_zpid/ | For Sale"
"7604 Edgewater Dr, Columbia, SC 29223","Sales Pipeline","Appointment Scheduled","185000","","https://www.zillow.com/homedetails/7604-Edgewater-Dr-Columbia-SC-29223/11721310_zpid/ | For Sale"
